cik|parent_cik|name|ticker|rptOwnerName|rptOwnerCik|isDirector|isOfficer|isTenPercentOwner|isOther|officerTitle|security_title|transaction_date|form_type|code|equity_swap|shares|acquired_disposed_code|shares_owned_following_transaction|direct_or_indirect_ownership|form4_link|open|high|low|close|adj_close|volume|daily_return|percent_change|range|average_price|shares_value_usd
0001045810|1045810|NVIDIA CORP|NVDA|HUDSON DAWN E|0001219888|1|0|0|0||Director Stock Option (Right to Buy)|2017-11-13|4|M|0|15000|D|4532|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581017000167/wf-form4_151070876698749.xml|54.03|54.29|53.0|53.16|52.58|58237600.0|-0.02|-1.62|1.29|53.65|804712.49
0001045810|1045810|NVIDIA CORP|NVDA|HUDSON DAWN E|0001219888|1|0|0|0||Director Stock Option (Right to Buy)|2017-11-13|4|M|0|15000|D|4532|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581017000167/wf-form4_151070876698749.xml|54.03|54.29|53.0|53.16|52.58|58237600.0|-0.02|-1.62|1.29|53.65|804712.49
0001045810|1045810|NVIDIA CORP|NVDA|BURGESS ROBERT K|0001198782|1|0|0|0||Stock Option (Right to Buy)|2021-08-24|4|M|0|20000|D|20164|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581021000138/wf-form4_163001249879996.xml|217.53|219.59|215.35|217.93|217.66|29729900.0|0.0|0.18|4.24|217.47|4349400.02
0001045810|1045810|NVIDIA CORP|NVDA|BURGESS ROBERT K|0001198782|1|0|0|0||Stock Option (Right to Buy)|2021-08-24|4|M|0|20000|D|20164|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581021000138/wf-form4_163001249879996.xml|217.53|219.59|215.35|217.93|217.66|29729900.0|0.0|0.18|4.24|217.47|4349400.02
0001045810|1045810|NVIDIA CORP|NVDA|HUDSON DAWN E|0001219888|1|0|0|0||Stock Option (Right to Buy):BOD-01 #1|2013-08-08|4|A|0|35645|A|35645|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581013000071/wf-form4_137608167201566.xml|3.67|3.69|3.63|3.67|3.43|34569600.0|0.0|0.14|0.07|3.66|130460.7
0001045810|1045810|NVIDIA CORP|NVDA|HUDSON DAWN E|0001219888|1|0|0|0||Stock Option (Right to Buy):BOD-01 #2|2013-08-08|4|A|0|50000|A|50000|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581013000071/wf-form4_137608167201566.xml|3.67|3.69|3.63|3.67|3.43|34569600.0|0.0|0.14|0.07|3.66|183000.0
0001045810|1045810|NVIDIA CORP|NVDA|HUDSON DAWN E|0001219888|1|0|0|0||Stock Option (Right to Buy):BOD-01 #1|2013-08-08|4|A|0|35645|A|35645|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581013000071/wf-form4_137608167201566.xml|3.67|3.69|3.63|3.67|3.43|34569600.0|0.0|0.14|0.07|3.66|130460.7
0001045810|1045810|NVIDIA CORP|NVDA|HUDSON DAWN E|0001219888|1|0|0|0||Stock Option (Right to Buy):BOD-01 #2|2013-08-08|4|A|0|50000|A|50000|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581013000071/wf-form4_137608167201566.xml|3.67|3.69|3.63|3.67|3.43|34569600.0|0.0|0.14|0.07|3.66|183000.0
0001045810|1045810|NVIDIA CORP|NVDA|HUANG JEN HSUN|0001197649|1|1|0|0|President and CEO|Employee Stock Option (Right to Buy)|2012-03-21|4|A|0|300000|A|300000|D|https://www.sec.gov/Archives/edgar/data/1045810/000120919112019798/doc4.xml|3.6|3.65|3.56|3.62|3.32|46784000.0|0.0|0.42|0.09|3.6|1081125.0
0001045810|1045810|NVIDIA CORP|NVDA|HUANG JEN HSUN|0001197649|1|1|0|0|President and CEO|Employee Stock Option (Right to Buy)|2012-03-21|4|A|0|300000|A|300000|D|https://www.sec.gov/Archives/edgar/data/1045810/000120919112019798/doc4.xml|3.6|3.65|3.56|3.62|3.32|46784000.0|0.0|0.42|0.09|3.6|1081125.0
0001045810|1045810|NVIDIA CORP|NVDA|Shoquist Debora|0001283854|0|1|0|0|EVP, Operations|Stock Option (Right to Buy)|2013-09-18|4|A|0|34500|A|34500|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581013000091/wf-form4_137971669414640.xml|3.97|4.01|3.95|4.0|3.76|26816800.0|0.01|0.82|0.06|3.98|137266.88
0001045810|1045810|NVIDIA CORP|NVDA|Shoquist Debora|0001283854|0|1|0|0|EVP, Operations|Stock Option (Right to Buy)|2013-09-18|4|A|0|34500|A|34500|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581013000091/wf-form4_137971669414640.xml|3.97|4.01|3.95|4.0|3.76|26816800.0|0.01|0.82|0.06|3.98|137266.88
0001045810|1045810|NVIDIA CORP|NVDA|SEAWELL A BROOKE|0001197652|1|0|0|0||Director Stock Option (Right to Buy)|2019-11-18|4|M|0|20000|D|30000|D|https://www.sec.gov/Archives/edgar/data/1045810/000104581019000172/wf-form4_157428708754429.xml|50.97|53.34|50.94|53.07|52.85|57458800.0|0.04|4.11|2.4|52.14|1042800.03
